Company,Inches,Memory,OpSys,Price_euros,height,width,Clock,Weight_in_kg
Dell,14.0,4,Windows 10,735.87,1080,1920,2.0,1.6
Asus,17.3,8,Windows 10,1599.0,1080,1920,2.8,2.7
Dell,15.6,8,Windows 10,1262.0,1080,1920,1.8,2.16
MSI,15.6,16,Windows 10,1799.0,1080,1920,2.8,2.4
HP,13.3,4,Windows 10,675.0,1080,1920,1.6,1.49
Toshiba,15.6,8,Windows 10,1043.0,1080,1920,2.5,2.2
Dell,15.6,8,Windows 10,935.0,1080,1920,2.6,1.9
HP,17.3,8,Windows 10,1860.99,900,1600,2.8,3.14
Asus,15.6,8,Windows 10,999.0,1080,1920,2.8,2.5
Dell,15.6,4,Linux,485.0,1080,1920,2.0,2.2
Dell,15.6,4,Windows 10,614.0,768,1366,2.0,2.18
MSI,15.6,8,Windows 10,1149.0,1080,1920,2.8,2.2
HP,15.6,8,Windows 10,2249.0,1080,1920,2.7,2.0
Lenovo,15.6,16,Windows 10,1305.0,1080,1920,2.6,3.31
HP,14.0,4,Windows 10,684.0,768,1366,2.4,1.64
HP,15.6,8,Windows 10,745.0,1080,1920,2.7,2.1
HP,15.6,4,Windows 10,650.0,768,1366,2.3,2.07
Lenovo,17.3,6,Windows 10,649.0,900,1600,2.5,2.8
Apple,12.0,8,Mac OS X,1300.0,1440,2304,1.1,0.92
Dell,15.6,8,Windows 10,2135.0,1080,1920,2.7,2.0
Dell,15.6,16,Linux,899.0,1080,1920,2.7,2.36
Lenovo,13.3,16,Windows 10,1499.0,1800,3200,2.5,1.3
Lenovo,14.0,4,Chrome OS,325.0,768,1366,1.6,1.5
Lenovo,15.6,4,No OS,359.99,768,1366,1.1,2.2
LG,14.0,8,Windows 10,1899.0,1080,1920,2.7,0.98
Acer,15.6,8,Windows 10,449.0,768,1366,2.2,2.4
Apple,13.3,8,macOS,2040.0,1600,2560,3.1,1.37
Lenovo,14.0,8,Windows 10,1799.0,1080,1920,2.5,1.32
Lenovo,15.6,8,No OS,685.0,1080,1920,2.7,2.2
Dell,13.3,8,Windows 10,955.0,1080,1920,1.8,1.4
Asus,14.0,8,Windows 10,1049.0,1080,1920,2.7,1.25
Asus,15.6,8,No OS,1169.0,1080,1920,2.8,2.5
Dell,13.3,16,Windows 10,1869.0,1800,3200,1.8,1.2
HP,12.5,8,Windows 10,1483.0,1080,1920,2.7,1.26
MSI,15.6,8,Windows 10,1027.74,1080,1920,2.5,2.2
Dell,14.0,8,Windows 10,1179.0,1080,1920,2.8,1.64
Toshiba,14.0,8,Windows 10,1180.0,1080,1920,2.3,1.95
HP,11.6,2,Windows 10,209.0,768,1366,1.6,1.17
Dell,13.3,16,Windows 10,2240.0,1800,3200,2.5,1.29
Dell,15.6,8,Windows 10,855.0,1080,1920,1.8,2.02
Acer,15.6,4,Windows 10,395.0,768,1366,3.0,2.1
Dell,13.3,8,Windows 10,1869.0,1800,3200,1.6,1.23
HP,14.0,8,Windows 10,860.0,1080,1920,1.6,1.63
Microsoft,13.5,4,Windows 10 S,989.0,1504,2256,2.2,1.252
Asus,15.6,4,Windows 10,849.9,768,1366,2.7,2.37
Dell,15.6,8,Linux,895.01,1080,1920,2.7,1.98
HP,15.6,4,Windows 10,347.0,768,1366,1.6,2.1
Dell,15.6,4,Windows 10,739.0,1080,1920,2.7,2.18
Toshiba,15.6,16,Windows 10,1425.0,1080,1920,2.5,2.4
MSI,17.3,16,Windows 10,2249.0,1080,1920,2.8,2.8
HP,15.6,8,Windows 7,1899.0,1080,1920,2.6,2.0
